stem,start_frame,end_frame,duration_sec,context,mean_distance
20241115_Box_2_CFC_Day_2_(Context_C)_9014,3693,3701,0.3,C,24.105
20241115_Box_2_CFC_Day_2_(Context_C)_9014,3703,3717,0.5,C,24.17
20241115_Box_2_CFC_Day_2_(Context_C)_9014,3732,3784,1.77,C,24.901
20241115_Box_2_CFC_Day_2_(Context_C)_9014,3790,3804,0.5,C,23.791
20241115_Box_2_CFC_Day_2_(Context_C)_9014,3858,3866,0.3,C,23.633
20241115_Box_2_CFC_Day_2_(Context_C)_9014,3875,3880,0.2,C,23.244
20241115_Box_2_CFC_Day_2_(Context_C)_9014,3887,3893,0.23,C,23.245
20241115_Box_2_CFC_Day_2_(Context_C)_9014,4076,4085,0.33,C,23.379
20241115_Box_2_CFC_Day_2_(Context_C)_9014,4335,4345,0.37,C,23.298
20241115_Box_2_CFC_Day_2_(Context_C)_9014,4703,4729,0.9,C,24.867
20241115_Box_2_CFC_Day_2_(Context_C)_9016,185,191,0.23,C,24.239
20241115_Box_2_CFC_Day_2_(Context_C)_9016,205,212,0.27,C,23.633
20241115_Box_2_CFC_Day_2_(Context_C)_9016,225,236,0.4,C,24.237
20241115_Box_2_CFC_Day_2_(Context_C)_9016,340,345,0.2,C,23.407
20241115_Box_2_CFC_Day_2_(Context_C)_9016,438,444,0.23,C,23.321
20241115_Box_2_CFC_Day_2_(Context_C)_9016,447,453,0.23,C,24.873
20241115_Box_2_CFC_Day_2_(Context_C)_9016,465,481,0.57,C,23.741
20241115_Box_2_CFC_Day_2_(Context_C)_9016,639,648,0.33,C,23.944
20241115_Box_2_CFC_Day_2_(Context_C)_9016,1196,1202,0.23,C,24.096
20241115_Box_2_CFC_Day_2_(Context_C)_9016,1464,1482,0.63,C,23.986
20241115_Box_2_CFC_Day_2_(Context_C)_9016,1501,1512,0.4,C,23.889
20241115_Box_2_CFC_Day_2_(Context_C)_9016,1545,1553,0.3,C,23.563
20241115_Box_2_CFC_Day_2_(Context_C)_9016,1670,1681,0.4,C,24.532
20241115_Box_2_CFC_Day_2_(Context_C)_9016,2368,2397,1.0,C,24.932
20241115_Box_2_CFC_Day_2_(Context_C)_9016,2457,2464,0.27,C,23.477
20241115_Box_2_CFC_Day_2_(Context_C)_9016,2587,2602,0.53,C,24.93
20241115_Box_2_CFC_Day_2_(Context_C)_9016,3084,3098,0.5,C,24.606
20241115_Box_2_CFC_Day_2_(Context_C)_9016,3156,3178,0.77,C,24.808
20241115_Box_2_CFC_Day_2_(Context_C)_9016,3286,3295,0.33,C,24.569
